race_id,circuit_name,race_name,unfiltered_race_date,race_date
152,Sepang International Circuit,FORMULA 1 PETRONAS MALAYSIA GRAND PRIX , 02 Oct 2016,2016-10-02
153,Marina Bay Street Circuit,FORMULA 1 SINGAPORE AIRLINES SINGAPORE GRAND PRIX , 18 Sep 2016,2016-09-18
154,Autodromo Nazionale Monza,FORMULA 1 GRAN PREMIO HEINEKEN D'ITALIA , 04 Sep 2016,2016-09-04
155,Circuit de Spa-Francorchamps,FORMULA 1 BELGIAN GRAND PRIX , 28 Aug 2016,2016-08-28
156,Hockenheimring,FORMULA 1 GROSSER PREIS VON DEUTSCHLAND , 31 Jul 2016,2016-07-31
157,Hungaroring,FORMULA 1 MAGYAR NAGYDÃJ , 24 Jul 2016,2016-07-24
158,Silverstone Circuit,FORMULA 1 BRITISH GRAND PRIX , 10 Jul 2016,2016-07-10
159,Red Bull Ring,FORMULA 1 GROSSER PREIS VON , 03 Jul 2016,2016-07-03
160,Baku City Circuit,FORMULA 1 GRAND PRIX OF EUROPE , 19 Jun 2016,2016-06-19
161,Circuit Gilles-Villeneuve,FORMULA 1 GRAND PRIX DU CANADA , 12 Jun 2016,2016-06-12
162,Circuit de Monaco,FORMULA 1 GRAND PRIX DE MONACO , 29 May 2016,2016-05-29
163,Circuit de Barcelona-Catalunya,FORMULA 1 GRAN PREMIO DE PIRELLI , 15 May 2016,2016-05-15
164,Sochi Autodrom,FORMULA 1 RUSSIAN GRAND PRIX , 01 May 2016,2016-05-01
165,Shanghai International Circuit,FORMULA 1 PIRELLI CHINESE GRAND PRIX , 17 Apr 2016,2016-04-17
166,Bahrain International Circuit,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX , 03 Apr 2016,2016-04-03
167,Albert Park Grand Prix Circuit,FORMULA 1 ROLEX AUSTRALIAN GRAND PRIX , 20 Mar 2016,2016-03-20
168,Yas Marina Circuit,FORMULA 1 ETIHAD AIRWAYS ABU DHABI GRAND PRIX , 29 Nov 2015,2015-11-29
169,Autódromo José Carlos Pace,FORMULA 1 GRANDE PRÃŠMIO PETROBRAS DO BRASIL , 15 Nov 2015,2015-11-15
170,Autódromo Hermanos Rodríguez,FORMULA 1 GRAN PREMIO DE MÃ‰XICO , 01 Nov 2015,2015-11-01
171,Circuit of The Americas,FORMULA 1 UNITED STATES GRAND PRIX , 25 Oct 2015,2015-10-25
